chunk_id,title,context,question,correct_answer,distractor_1,distractor_2,distractor_3,option_A,option_B,option_C,option_D,answer_key
chunk_00042,Testing Faults and Fear of Undetected Errors,"A computer professional can laugh at this story, albeit somewhat nervously. After all, every one of us has designed or implemented a product that, in its original form, would have resulted in the equivalent of sending dunning letters for $0.00. Up to now, we have always caught this sort of fault during testing. But our laughter has a hollow ring to it, because at the back of our minds is the fear that someday we will not detect the fault before the product is delivered to the customer.",What is the story of sending dunning letters for $0.00 a metaphor for?,the fear that someday we will not detect the fault before the product is delivered to the customer,[N/A],[N/A],[N/A],[N/A],[N/A],the fear that someday we will not detect the fault before the product is delivered to the customer,[N/A],C
chunk_00043,1979 WWMCCS False Missile Alert Due to Software Fault,"A decidedly less humorous software fault was detected on November 9, 1979. The Strategic Air Command had an alert scramble when the worldwide military command and control system (WWMCCS) computer network reported that the Soviet Union had launched missiles aimed toward the United States [Neumann, 1980]. What actually happened was that a simulated attack was interpreted as the real thing, just as in the movie WarGames some 5 years later. Although the U.S. Department of Defense understandably has ",What was the name of the computer network that detected the simulated attack as the real thing?,WWMCCS,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],WWMCCS,D
chunk_00044,Software Engineering: Aim and Scope,"Whether we are dealing with billing or air defense, much of our software is delivered late, over budget, and with residual faults, and does not meet the client’s needs. Software engineering is an attempt to solve these problems. In other words, software engineering is a discipline whose aim is the production of fault-free software, delivered on time and within budget, that satisfi es the client’s needs. Furthermore, the software must be easy to modify when the user’s needs change.  
The scope of",What are some of the categories of software engineering?,"mathematics or computer science; other aspects fall into the areas of economics, management, or psychology",computer science; mathematics; other aspects fall into the areas of economics or psychology,economics; management; psychology; computer science; mathematics,computer science; mathematics; economics; psychology; management,computer science; mathematics; other aspects fall into the areas of economics or psychology,"mathematics or computer science; other aspects fall into the areas of economics, management, or psychology",computer science; mathematics; economics; psychology; management,economics; management; psychology; computer science; mathematics,B
chunk_00045,Historical Software Failures and Lessons,"## 1.1 Historical Aspects  
It is a fact that electric power generators fail, but far less frequently than payroll products. Bridges sometimes collapse but considerably less often than operating systems. In the belief that software design, implementation, and maintenance could be put on the same  
In the case of the WWMCCS network, disaster was averted at the last minute. However, the consequences of other software faults have been fatal. For example, between 1985 and 1987, at least two patients",What did the accumulated time discrepancy cause the system to become inaccurate from?,large enough to render the system inaccurate,too large to render the system inaccurate,large enough to render the system inaccurate,too large to render the system inaccurate,large enough to render the system inaccurate,too large to render the system inaccurate,too large to render the system inaccurate,large enough to render the system inaccurate,A
chunk_00046,Software Faults in Military and Financial Systems,"During the Gulf War, the United States shipped Patriot missiles to Israel for protection against the Scuds. Israeli forces detected the timing problem after only 8 hours and immediately reported it to the manufacturer in the United States. The manufacturer corrected the fault as quickly as it could, but tragically, the new software arrived the day after the direct hit by the Scud [Mellor, 1994].  
Fortunately, it is extremely rare for death or serious injury to be caused by a software fault. How",How many borrowers were affected by the SLM Corp. software fault?,nearly 1 million,"50,000",1 million,8 hours,nearly 1 million,8 hours,"50,000",1 million,A
chunk_00047,Belgian Budget Overrun Due to Software Fault,"The Belgian government overestimated its 2007 budget by <sup>€</sup>883,000,000 (more than $1,100,000,000 at time of writing). This mistake was caused by a software fault compounded by the manual overriding of an error-detection mechanism [La Libre Online, 2007a; 2007b]. The Belgian tax authorities used scanners and optical character recognition software to process tax returns. If the software encountered an unreadable return, it recorded the taxpayer’s income as <sup>€</sup>99,999,999.99 (over ",What was the budget overrun in 2007?,"€883,000,000","€99,999,999.99","€1,100,000,000","€125,000,000","€125,000,000","€99,999,999.99","€1,100,000,000","€883,000,000",D
chunk_00048,Tacoma Narrows Bridge Collapse Example,"As stated in Section 1.1, the aim of the Garmisch conference was to make software development as successful as traditional engineering. But by no means are all traditional engineering projects successful. For example, consider bridge building.  
In July 1940, construction of a suspension bridge over the Tacoma Narrows, in Washington State, was completed. Soon after, it was discovered that the bridge swayed and buckled dangerously in windy conditions. Approaching cars would alternately disappear ",What was the nickname of the Tacoma Narrows bridge?,Galloping Gertie,[N/A],[N/A],[N/A],Galloping Gertie,[N/A],[N/A],[N/A],A
chunk_00049,Bridge Height Mismatch Due to Sea Level Difference,"A somewhat more humorous bridge construction failure was observed in January 2004. A new bridge was being built over the Upper Rhine River near the German town of Laufenberg, to connect Germany and Switzerland. The German half of the bridge was designed and constructed by a team of German engineers; the Swiss half by a Swiss team. When the two parts were connected, it immediately became apparent that the German half was some 21 inches (54 centimeters) higher than the Swiss half. Major reconstruc",How much higher was the German half of the bridge than the Swiss half?,21 inches,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],21 inches,D
chunk_00051,Software Crisis Statistics and Impacts,"Despite many software success stories, an unacceptably large proportion of software products still are being delivered late, over budget, and with residual faults. For example, the Standish Group is a research fi rm that analyzes software development projects. Their study of development projects completed in 2006 is summarized in Figure 1.1 [Rubenstein, 2007]. Only 35 percent of the projects were successfully completed, whereas 19 percent were canceled before completion or were never implemented",What firm analyzes software development projects?,The Standish Group,The Cutter Consortium,The Cutter Group,The Standish Group,The Standish Group,The Cutter Consortium,The Standish Group,The Cutter Group,A
chunk_00052,Software Crisis and Required Engineer Skills,"• In 67 percent of those cases, the functionality or performance of the software products as delivered did not measure up to the claims of the software developers.  
• In 56 percent of those cases, the promised delivery date slipped several times  
• In 45 percent of those cases, the faults were so severe that the software product was unusable.  
It is clear that far too little software is delivered on time, within budget, fault free, and meeting its client’s needs. To achieve these goals, a sof",What percentage of software engineers have experienced the software crisis?,67 percent,56 percent,45 percent,40 percent,45 percent,56 percent,40 percent,67 percent,D
chunk_00055,Economic Trade‑offs Between Coding Techniques and Maintenance,"• A second reason why the economics of software engineering may dictate that $\mathrm { C T _ { o l d } }$ be retained is the maintenance consequence. Coding technique $\mathrm { C T } _ { \mathrm { n e w } }$ indeed may be 10 percent faster than $\mathrm { C T _ { o l d } } ,$ and the resulting code may be of comparable quality from the viewpoint of satisfying the client’s current needs. But the use of technique $\mathrm { C T } _ { \mathrm { n e w } }$ may result in code that is diffi cult to ",What is the potential drawback of using $\mathrm { C T } _ { \mathrm { n e w } }$?,code that is diffi cult to maintain,potential cost of $\mathrm { C T } _ { \mathrm { n e w } }$,lower initial costs,much faster than $\mathrm { C T } _ { \mathrm { o l d } }$,code that is diffi cult to maintain,potential cost of $\mathrm { C T } _ { \mathrm { n e w } }$,much faster than $\mathrm { C T } _ { \mathrm { o l d } }$,lower initial costs,A
chunk_00056,Maintenance Aspects in Software Life Cycle,"## 1.3 Maintenance Aspects  
In this section, we describe maintenance within the context of the software life cycle. A life-cycle model is a description of the steps that should be performed when building a software product. Many different life-cycle models have been proposed; several of them are described in Chapter 2 . Because it is almost always easier to perform a sequence of smaller tasks than one large task, the overall life-cycle model is broken into a series of smaller steps, called phas",What is the overall life-cycle model broken into?,"a series of smaller steps, called phases","a series of larger steps, called phases","a series of smaller steps, called tasks","a series of larger steps, called tasks","a series of larger steps, called tasks","a series of larger steps, called phases","a series of smaller steps, called phases","a series of smaller steps, called tasks",C
chunk_00058,"Software Development Phases: Design, Implementation, Maintenance","3. Design phase . The specifi cations undergo two consecutive design procedures during the design phase . First comes architectural design , in which the product as a whole is broken down into components, called modules . Then, each module is designed; this procedure is termed detailed design . The two resulting design documents describe “how the product does it.”  
4. Implementation phase . The various components undergo coding and testing ( unit testing ) separately. Then, the components of th",What is the result of the design phase?,two design documents describe “how the product does it.”,the product is broken down into components.,the product is tested by the client.,the product is tested by the developers.,the product is tested by the developers.,the product is broken down into components.,the product is tested by the client.,two design documents describe “how the product does it.”,D
chunk_00059,1.3 Maintenance Aspects,"One of the most widely quoted results in software engineering is that 17.4 percent of the postdelivery maintenance effort is corrective in nature; 18.2 percent is adaptive; 60.3 percent is perfective; and 4.1 percent can be categorized as “other.” This result is taken from a paper published in 1978 [Lientz, Swanson, and Tompkins, 1978].  
However, the result in that paper was not derived from measurements on maintenance data. Instead, the authors conducted a survey of maintenance managers who we",What percentage of maintenance is perfective?,60.3 percent,17.4 percent,18.2 percent,4.1 percent,60.3 percent,17.4 percent,18.2 percent,4.1 percent,A
chunk_00060,Challenges in Early Software Maintenance Survey Data,"In fact, one should seriously question whether any respondents had “reasonably accurate data” regarding the percentage of time devoted to the categories of maintenance included in the survey; most of them probably did not have even “minimal data.” In that survey, participants were asked to state what percentage of maintenance consisted of items like “emergency fi xes” or “routine debugging”; from this raw information, the percentage of adaptive, corrective, and perfective maintenance was deduced",What year did software engineering start to emerge as a discipline?,1978,2002,2003,1979,1979,2002,1978,2003,C
chunk_00061,Types of Software Maintenance and Retirement,"includes corrective maintenance (or software repair ), which consists of the removal of residual faults while leaving the specifications unchanged, as well as enhancement (or software update), which consists of changes to the specifications and the implementation of those changes. There are, in turn, two types of enhancement. The first is perfective maintenance , changes that the client thinks will improve the effectiveness of the product, such as additional functionality or decreased response t",What is perfective maintenance?,changes that the client thinks will improve the effectiveness of the product,changes to the specifications and the implementation of those changes,removal of residual faults while leaving the specifications unchanged,the removal of residual faults while leaving the specifications unchanged,changes to the specifications and the implementation of those changes,changes that the client thinks will improve the effectiveness of the product,the removal of residual faults while leaving the specifications unchanged,removal of residual faults while leaving the specifications unchanged,B
chunk_00062,Classical and Modern Views of Software Maintenance,"## 1.3.1 Classical and Modern Views of Maintenance  
In the 1970s, software production was viewed as consisting of two distinct activities performed sequentially: development followed by maintenance . Starting from scratch, the software product was developed, and then installed on the client’s computer. Any change to the software after installation on the client’s computer and acceptance by the client, whether to fi x a residual fault or extend the functionality, constituted classical maintenanc",What is the classical model of software production?,the development-then-maintenance model,the development-after-maintenance model,the development-and-maintenance model,the development-before-maintenance model,the development-after-maintenance model,the development-before-maintenance model,the development-then-maintenance model,the development-and-maintenance model,C
chunk_00063,Temporal Definition of Development vs Maintenance,"This is a temporal defi nition ; that is, an activity is classifi ed as development or maintenance depending on when it is performed. Suppose that a fault in the software is detected and corrected a day after the software has been installed. By defi nition, this constitutes classical maintenance. But if the identical fault is detected and corrected the day before the software is installed, in terms of the defi nition, this constitutes classical development. Now suppose that a software product ha",What is a temporal definition?,an activity is classifi ed as development or maintenance depending on when it is performed,[N/A],[N/A],[N/A],[N/A],an activity is classifi ed as development or maintenance depending on when it is performed,[N/A],[N/A],B
chunk_00064,Impact of Changing Requirements on Software Development,"1. Nowadays, it is certainly not unusual for construction of a product to take a year or more. During this time, the client’s requirements may well change. For example, the client might insist that the product now be implemented on a faster processor, which has just become available. Alternatively, the client organization may have expanded into Belgium while development was under way, and the product now has to be modifi ed so it can also handle sales in Belgium. To see how a change in requireme",What is a common reason for delays in software construction?,client’s requirements may well change,the software engineering team has to suspend development,there is a problem with the computer,the programmer has to learn a new programming language,there is a problem with the computer,the software engineering team has to suspend development,client’s requirements may well change,the programmer has to learn a new programming language,C
chunk_00065,Problems with Classical Development-Then-Maintenance Model,"2. A second problem with the classical development-then-maintenance model arose as a result of the way in which we now construct software. In classical software engineering, a characteristic of development was that the development team built the target product starting from scratch. In contrast, as a consequence of the high cost of software production today, wherever possible developers try to reuse parts of existing software products in the software product to be constructed (reuse is discussed",What is the central secretariat of the ISO?,"Geneva, Switzerland",Europe,USA,China,Europe,China,USA,"Geneva, Switzerland",D
chunk_00066,ISO Naming and Software Maintenance Definitions,"ISO is not an acronym. It is derived from the Greek word , meaning equal, the root of the English prefi x iso- found in words such as isotope, isobar, and isosceles. The International Organization for Standardization chose ISO as the short form of its name to avoid having multiple acronyms arising from the translation of the name “International Organization for Standardization” into the languages of the different member countries. Instead, to achieve international standardization, a universal sh",What does the term postdelivery maintenance refer to?,the 1990 IEEE defi nition of maintenance as any change to the software after it has been delivered and installed on the client’s computer,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],the 1990 IEEE defi nition of maintenance as any change to the software after it has been delivered and installed on the client’s computer,D
chunk_00067,Importance of Postdelivery Software Maintenance,"## 1.3.2 The Importance of Postdelivery Maintenance  
It is sometimes said that only bad software products undergo postdelivery maintenance. In fact, the opposite is true: Bad products are thrown away, whereas good products are repaired and enhanced, for 10, 15, or even 20 years. Furthermore, a software product is a model of the real world, and the real world is perpetually changing. As a consequence, software has to be maintained constantly for it to remain an accurate reflection of the real wo",What is the term for the process of maintaining software after its initial deployment?,postdelivery maintenance,predeployment maintenance,deployment maintenance,postdeployment maintenance,postdeployment maintenance,deployment maintenance,predeployment maintenance,postdelivery maintenance,D
chunk_00068,Using Named Constants vs Hardcoded Values in Software Maintenance,"$$
\text { public   static   final   float   salesTax } = (\text { float }) 6. 0;
$$  
declaring that salesTax is a fl oating-point constant initialized to the value 6.0. In this case, maintenance is relatively simple. With the aid of a text editor the value 6.0 is replaced by 7.0 and the code is recompiled and relinked. However, if instead of using the name salesTax, the actual value 6.0 has been used in the product wherever the value of the sales tax is invoked, then such a product is extremel",What is the problem with using hardcoded values in software?,difficult to modify,[N/A],[N/A],[N/A],[N/A],difficult to modify,[N/A],[N/A],B
chunk_00069,Postdelivery Maintenance Cost Trends,"But just how much time (= money) is devoted to postdelivery maintenance? The pie chart in Figure 1.3(a) shows that, some 40 years ago, approximately two-thirds of total software costs went to postdelivery maintenance; the data were obtained by averaging information from various sources, including [Elshoff, 1976], [Daly, 1977], [Zelkowitz, Shaw, and Gannon, 1979], and [Boehm, 1981]. Newer data show that an even larger proportion is devoted to postdelivery maintenance. Many organizations devote 70",What percent of the budget is devoted to postdelivery maintenance?,70–80 percent,[N/A],[N/A],[N/A],[N/A],[N/A],70–80 percent,[N/A],C
chunk_00073,Cost of Fault Correction Increases Across Development Lifecycle,"The reason that the cost of correcting a fault increases so steeply is related to what has to be done to correct a fault. Early in the development life cycle, the product essentially exists only on paper, and correcting a fault may simply mean making a change to a document. The other extreme is a product already delivered to a client. At the very least, correcting a fault at that time means editing the code, recompiling and relinking it, and then carefully testing that the problem is solved. Nex",What is the reason that the cost of correcting a fault increases so steeply?,The reason that the cost of correcting a fault increases so steeply is related to what has to be done to correct a fault.,Faults are not caught at the beginning of the development life cycle.,It is difficult to find faults.,Faults are not caught at the very least.,Faults are not caught at the very least.,It is difficult to find faults.,The reason that the cost of correcting a fault increases so steeply is related to what has to be done to correct a fault.,Faults are not caught at the beginning of the development life cycle.,C
chunk_00074,Fault Distribution in Software Life Cycle,"There is a further need for such techniques. Studies have shown [Boehm, 1979] that between 60 and 70 percent of all faults detected in large projects are requirements, analysis, or design faults. Newer results from inspections bear out this preponderance of requirements, analysis, or design faults (an inspection is a meticulous examination of a document by a team, as described in Section 6.2.3). During 203 inspections of Jet Propulsion Laboratory software for the NASA unmanned interplanetary spa",What is the main cause of faults in software?,"requirements, analysis, or design faults",code faults,inspection faults,design faults,code faults,"requirements, analysis, or design faults",design faults,inspection faults,B
chunk_00075,Team Development and Hardware Cost Trends,"## 1.5 Team Development Aspects  
The cost of hardware continues to decrease rapidly. A mainframe computer of the 1950s that cost in excess of a million preinfl ation dollars was considerably less powerful in every way than a laptop computer of today costing less than $1000. As a result, organizations easily can afford hardware that can run large products, that is, products too large (or too complex) to be implemented by one person within the allowed time constraints. For example, if a product h",What is a result of the rapid decrease in cost of hardware?,organizations easily can afford hardware that can run large products,the cost of a laptop computer exceeds that of a mainframe computer,a laptop computer is considerably less powerful than a mainframe computer,a mainframe computer can run large products,the cost of a laptop computer exceeds that of a mainframe computer,a laptop computer is considerably less powerful than a mainframe computer,organizations easily can afford hardware that can run large products,a mainframe computer can run large products,C
chunk_00076,Argument Order Mismatch in Module Interfaces,"For example, Jeff and Juliet code modules p and q, respectively, where module p calls module q. When Jeff codes p, he inserts a call to q with fi ve arguments in the argument list. Juliet codes q with fi ve arguments, but in a different order from those of Jeff. Some software tools, such as the Java interpreter and loader, or lint for C (Section 8.11.4), detect such a type violation but only if the interchanged arguments are of different types; if they are of the same type, then the problem may ",What is one possible solution to the problem of an argument order mismatch in module interfaces?,"a design often is changed after coding commences, and notifi cation of a change may not be distributed to all members of the development team",the software tools should be designed to detect such a type violation and fail if the arguments are of the same type,the users of the software should be informed of the mismatch before they start coding,the individual should be responsible for every aspect of the product,"a design often is changed after coding commences, and notifi cation of a change may not be distributed to all members of the development team",the users of the software should be informed of the mismatch before they start coding,the software tools should be designed to detect such a type violation and fail if the arguments are of the same type,the individual should be responsible for every aspect of the product,A
chunk_00077,Team Organization and Software Engineering Scope,"But interfacing problems are merely the tip of the iceberg when it comes to problems that can arise when software is developed by teams. Unless the team is properly organized, an inordinate amount of time can be wasted in conferences between team members. Suppose that a product takes a single programmer 1 year to complete. If the same task is assigned to a team of six programmers, the time for completing the task frequently is closer to 1 year than the expected 2 months, and the quality of the r",What does the software engineering discipline include?,"production of fault-free soft ware delivered on time, within budget, and satisfying the user’s needs.",[N/A],[N/A],[N/A],[N/A],"production of fault-free soft ware delivered on time, within budget, and satisfying the user’s needs.",[N/A],[N/A],B
chunk_00078,Why There Is No Planning Phase in Software Development,"## 1.6 Why There Is No Planning Phase  
Clearly it is impossible to develop a software product without a plan. Accordingly, it appears to be essential to have a planning phase at the very beginning of the project.  
The key point is that, until it is known exactly what is to be developed, there is no way an accurate, detailed plan can be drawn up. Therefore, three types of planning activities take place when a software product is developed using the classical paradigm:  
1. At the beginning of t",What is the purpose of the planning phase?,to develop a software product without a plan,to plan the time and budget for developing a software product,to develop a software product without a plan,to develop a software product with a plan,to develop a software product with a plan,to develop a software product without a plan,to plan the time and budget for developing a software product,to develop a software product without a plan,B
chunk_00079,Project Monitoring and Design Phase Management,"For example, suppose that the SPMP for a specifi c project states that the project as a whole will take 16 months and that the design phase will take 4 of those months. After a year, management notices that the project as a whole seems to be progressing much more slowly than anticipated. A detailed investigation shows that, so far, 8 months have been devoted to the design phase, which is still far from complete. The project almost certainly will have to be abandoned, and the funds spent to date ",What is the normal way to determine if a project is feasible?,the risk of proceeding is too great,[N/A],[N/A],[N/A],[N/A],the risk of proceeding is too great,[N/A],[N/A],B
chunk_00080,Why There Is No Separate Testing Phase,"## 1.7 Why There Is No Testing Phase  
It is essential to check a software product meticulously after it has been developed. Accordingly, it is reasonable to ask why there is no testing phase after the product has been implemented.  
Unfortunately, checking a software product once it is ready to be delivered to the client is far too late. For instance, if there is a fault in the specifi cation document, this fault will have been carried forward into the design and implementation. There are times",What is the primary responsibility of the SQA group?,ensuring that the delivered product is what the client needs and that the product has been built correctly in every way,[N/A],[N/A],[N/A],[N/A],[N/A],ensuring that the delivered product is what the client needs and that the product has been built correctly in every way,[N/A],C
chunk_00081,Why Documentation Should Not Be a Separate Phase,"## 1.8 Why There Is No Documentation Phase  
Just as there should never be a separate planning phase or testing phase, there also should never be a separate documentation phase . On the contrary, at all times, the documentation of a software product must be complete, correct, and up to date. For instance, during the analysis phase, the specifi cation document must refl ect the current version of the specifi cations, and this is also true for the other phases.  
1. One reason why it is essential ",What is one reason why it is essential to ensure that the documentation is always up to date?,the large turnover in personnel in the software industry,it is impossible to perform the steps of a specifi c phase,the system is in the testing phase,there is a separate documentation phase,the large turnover in personnel in the software industry,the system is in the testing phase,it is impossible to perform the steps of a specifi c phase,there is a separate documentation phase,A
chunk_00083,Classical Paradigm Limitations in Software Maintenance,"2. The classical paradigm did not live up to earlier expectations during postdelivery maintenance. A major driving force behind the development of the classical paradigm some 40 years ago was that, on average, two-thirds of the software budget was being devoted to postdelivery maintenance (see Figure 1.3 ). Unfortunately, the classical paradigm has not solved this problem; as pointed out in Section 1.3.2, many organizations still spend 70–80 percent or more of their time and effort on postdelive",What percentage of the budget was devoted to postdelivery maintenance?,two-thirds,30 percent,80 percent,70 percent,70 percent,80 percent,two-thirds,30 percent,C
chunk_00084,Object-Oriented Paradigm: Attributes and Operations,"In contrast, the object-oriented paradigm considers both attributes and operations to be equally important. A simplistic way of looking at an object is as a unifi ed software artifact that incorporates both the attributes and the operations performed on the attributes (an artifact is a component of a software product, such as a specifi cation document, a code module, or a manual). This defi nition of an object is incomplete and is fl eshed out later in the book, once inheritance has been defi ne",What does the object-oriented paradigm consider to be equally important to attributes?,operations,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],operations,D
chunk_00085,Bank Account Object Attributes and Operations,"(b)  
A bank account is one example of an object (see Figure 1.7 ). The attribute component of the object is the accountBalance. The operations that can be performed on that account balance include deposit money in the account, withdraw money from the account, and determineBalance. The bank account object combines an attribute with the three operations performed on that attribute in a single artifact. From the viewpoint of the classical paradigm, a product that deals with banking would have to i",What is an example of an object?,bank account,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],bank account,D
chunk_00088,Object-Oriented Paradigm Benefits in Software Maintenance and Development,"1. Consider postdelivery maintenance. Suppose that the banking product has been constructed using the classical paradigm. If the way an account_balance is represented is changed from (say) an integer to a fi eld of a structure, then every part of that product that has anything to do with an account_balance has to be changed, and these changes have to be made consistently. In contrast, if the object-oriented paradigm is used, then changes need be made only within the bank account object itself. N",What is the object-oriented paradigm used for?,development and maintenance,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],development and maintenance,D
chunk_00089,Object-Oriented Design Principles: Encapsulation and Independence,"3. Well-designed objects are independent units. As has been explained, an object consists of both attributes and the operations performed on the attributes. If all the operations performed on the attributes of an object are included in that object, then the object can be considered a conceptually independent entity. Everything in the product that relates to the portion of the real world modeled by that object can be found in the object itself. This conceptual independence sometimes is termed enc",What is encapsulation?,"Well-designed objects are independent units. As has been explained, an object consists of both attributes and the operations performed on the attributes. If all the operations performed on the attributes of an object are included in that object, then the object can be considered a conceptually independent entity. Everything in the product that relates to the portion of the real world modeled by that object can be found in the object itself. This conceptual independence sometimes is termed encapsulation (Section 7.4).",[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],"Well-designed objects are independent units. As has been explained, an object consists of both attributes and the operations performed on the attributes. If all the operations performed on the attributes of an object are included in that object, then the object can be considered a conceptually independent entity. Everything in the product that relates to the portion of the real world modeled by that object can be found in the object itself. This conceptual independence sometimes is termed encapsulation (Section 7.4).",D
chunk_00090,Information Hiding and Object-Oriented Reuse,"# Just in Case You Wanted to Know  
Suppose that you live in New Orleans, and you want to send a Mother’s Day bouquet to your mother in Chicago. One strategy would be to consult the Chicago yellow pages (on the World Wide Web), determine which fl orist is located closest to your mother’s apartment, and place your order with that fl orist. A more convenient way is to order the fl owers at 1-800-fl owers.com, leaving the total responsibility for delivering the fl owers to that company. It is irrel",What is one of the reasons the object-oriented paradigm promotes reuse?,"reuse of objects reduces the time and cost of both development and maintenance, as explained in Chapter 8",It helps to improve the performance of products.,It helps to reduce the time and cost of both development and maintenance.,It reduces the time and cost of both development and maintenance.,It reduces the time and cost of both development and maintenance.,It helps to reduce the time and cost of both development and maintenance.,"reuse of objects reduces the time and cost of both development and maintenance, as explained in Chapter 8",It helps to improve the performance of products.,C
chunk_00092,Object-Oriented Analysis Workflow and Class Determination,"If the object-oriented paradigm is used instead, one of the steps of the objectoriented analysis workfl ow is to determine the classes. Because a class is a kind of module, architectural design is performed during the object-oriented analysis workfl ow.  
<table><tr><td>Classical Paradigm</td><td>Object-Oriented Paradigm</td></tr><tr><td>1. Requirements phase</td><td>1. Requirements workflow</td></tr><tr><td>2. Analysis (specification) phase</td><td>2'. Object-oriented analysis workflow</td></tr",What is one of the steps of the object-oriented analysis workflow?,determine the classes,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],determine the classes,D
chunk_00093,Object-Oriented Analysis vs Classical Paradigm,"Consequently, object-oriented analysis goes further than the corresponding analysis (specifi cation) phase of the classical paradigm. This is shown in Figure 1.9 .  
This difference between the two paradigms has major consequences. When the classical paradigm is used, there almost always is a sharp transition between the analysis phase and the design phase. After all, the aim of the analysis phase is to determine what the product is to do, whereas the purpose of the design phase is to decide how",What is a major consequence of using the object-oriented paradigm?,reducing the number of faults introduced during development,object-oriented analysis is more suitable than the classical paradigm,designing in the design workfl ow,the transition from workfl ow to workfl ow is smooth,object-oriented analysis is more suitable than the classical paradigm,reducing the number of faults introduced during development,the transition from workfl ow to workfl ow is smooth,designing in the design workfl ow,B
chunk_00094,Object-Oriented Paradigm Overview,"## 1.10 The Object-Oriented Paradigm in Perspective  
Figure 1.1 is evidence of the many shortcomings of the classical (structured) paradigm. However, the object-oriented paradigm is by no means a panacea for all ills:  
• Like all approaches to software production, the object-oriented paradigm has to be used correctly; it is just as easy to misuse the object-oriented paradigm as any other paradigm.  
• When correctly applied, the object-oriented paradigm can solve some (but not all) of the prob",What does the object-oriented paradigm have in common with the classical paradigm?,the object-oriented paradigm can solve some (but not all) of the problems of the classical paradigm,the object-oriented paradigm can solve all the problems of the classical paradigm,the object-oriented paradigm is the best approach available today,the object-oriented paradigm is a panacea for all ills,the object-oriented paradigm can solve some (but not all) of the problems of the classical paradigm,the object-oriented paradigm is the best approach available today,the object-oriented paradigm is a panacea for all ills,the object-oriented paradigm can solve all the problems of the classical paradigm,A
chunk_00095,"Client, Developers, and Software Development Types","## 1.11 Terminology  
The client is the individual who wants a product to be built (developed). The developers are the members of a team responsible for building that product. The developers may be responsible for every aspect of the software process, from the requirements onward, or they may be responsible for only the implementation of an already designed product.  
Both the client and developers may be part of the same organization. For example, the client may be the head actuary of an insura",What is the term for developers being part of the same organization as the client?,internal software development,contact software development,professional software development,commercial software development,professional software development,commercial software development,contact software development,internal software development,D
chunk_00096,"Users, Clients, and COTS Software Overview","The third party involved in software production is the user . The user is the person or persons on whose behalf the client has commissioned the product and who will utilize the software. In the insurance company example, the users may be insurance agents, who will use the software to select the most appropriate policies. In some instances, the client and the user are the same person (for example, the accountant discussed previously).  
As opposed to expensive custom software developed for one cl",What is the third party involved in software production called?,user,manufacturer,client,programmer,client,programmer,manufacturer,user,D
chunk_00097,Open‑Source Software and Linus’s Law,"Open-source software is becoming extremely popular. An open-source software product is developed and maintained by a team of volunteers and may be downloaded and used free of charge by anyone. Widely used open-source products include the Linux operating system, the Firefox Web browser, and the Apache Web server. The term open source refers to the availability of the source code to all, unlike most commercial products where only the executable version is sold. Because any user of an open-source p",What is a consequence of the public nature of faults in open-source software?,"if enough individuals scrutinize the source code of an open-source software product, someone should be able to locate that fault and suggest how to fi x it","the more people who carefully examine a piece of code, the more likely it is that someone will be able to locate that fault and suggest how to fi x it","the more people who carefully examine a piece of code, the more likely it is that someone will be able to fi x it","the more people who carefully examine a piece of code, the more likely it is that someone will be able to locate that fault","if enough individuals scrutinize the source code of an open-source software product, someone should be able to locate that fault and suggest how to fi x it","the more people who carefully examine a piece of code, the more likely it is that someone will be able to locate that fault","the more people who carefully examine a piece of code, the more likely it is that someone will be able to fi x it","the more people who carefully examine a piece of code, the more likely it is that someone will be able to locate that fault and suggest how to fi x it",A
chunk_00098,Open-source testing practices and software definition,"That is, open-source developers tend to spend less time on testing than closed-source developers, preferring to release a new version of a product virtually as soon as it is fi nished, leaving much of the responsibility for testing to users.  
A word used on almost every page of this book is software . Software consists of not just code in machine-readable form but also all the documentation that is an intrinsic component of every project. Software includes the specifi cation document, the desig",What is software?,consists of not just code in machine-readable form but also all the documentation that is an intrinsic component of every project,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],consists of not just code in machine-readable form but also all the documentation that is an intrinsic component of every project,D
chunk_00099,Program vs System Distinction,"Since the 1970s, the difference between a program and a system has become blurred. In the “good old days,” the distinction was clear. A program was an autonomous piece of code, generally in the form of a deck of punched cards that could be executed. A system was a related collection of programs. A system might consist of programs P, Q, R, and S. Magnetic tape ${ \sf T } _ { 1 }$ was mounted, and then program P was run. It caused a deck of data cards to be read in and produced as output tapes ${ ",A system is a collection of what?,programs,programs and decks,data cards,magnetic tapes,magnetic tapes,data cards,programs,programs and decks,C
